weight,won,lost,n_gold,final_cycle
0.8500000000000003,1,1,0,8381
0.8500000000000003,0,1,2,8386
0.8500000000000003,0,1,2,8425
0.8500000000000003,1,1,0,8399
0.8500000000000003,0,1,2,7703
0.8500000000000003,1,1,0,7697
0.8500000000000003,0,1,1,7711
0.8500000000000003,0,1,1,7723
0.8500000000000003,0,1,2,6015
0.8500000000000003,0,1,2,6012
0.8500000000000003,0,1,1,6038
0.8500000000000003,0,1,2,6016
0.8500000000000003,1,1,0,4970
0.8500000000000003,1,1,0,4967
0.8500000000000003,1,1,0,4964
0.8500000000000003,1,1,0,4945
0.8500000000000003,1,0,0,1891
0.8500000000000003,0,1,2,1881
0.8500000000000003,1,1,0,1889
0.8500000000000003,0,1,1,1885
0.9000000000000004,0,1,1,11081
0.9000000000000004,0,1,2,11219
0.9000000000000004,1,1,0,11059
0.9000000000000004,0,1,2,11069
0.9000000000000004,0,1,2,9330
0.9000000000000004,0,1,1,9320
0.9000000000000004,0,1,2,9323
0.9000000000000004,1,1,0,9275
0.9000000000000004,0,1,1,8210
0.9000000000000004,1,1,0,8143
0.9000000000000004,1,1,0,8179
0.9000000000000004,1,1,0,8181
0.9000000000000004,1,1,0,6727
0.9000000000000004,0,1,2,6782
0.9000000000000004,1,1,0,6776
0.9000000000000004,1,1,0,6717
0.9000000000000004,1,1,0,4493
0.9000000000000004,1,0,0,4497
0.9000000000000004,0,1,1,4494
0.9000000000000004,0,1,1,4525
0.9500000000000004,1,1,0,14478
0.9500000000000004,1,1,0,14448
0.9500000000000004,0,1,1,14493
0.9500000000000004,1,1,0,14377
0.9500000000000004,1,1,0,10861
0.9500000000000004,1,1,0,10946
0.9500000000000004,0,1,2,11034
0.9500000000000004,1,1,0,10960
0.9500000000000004,1,1,0,7438
0.9500000000000004,0,1,2,7472
0.9500000000000004,1,1,0,7399
0.9500000000000004,0,1,2,7481
0.9500000000000004,1,1,0,4325
0.9500000000000004,1,1,0,4330
0.9500000000000004,0,1,2,4387
0.9500000000000004,0,1,1,4358
0.9500000000000004,1,0,0,1708
0.9500000000000004,1,1,0,1708
0.9500000000000004,0,1,2,1707
0.9500000000000004,0,1,2,1718
1.0000000000000004,1,0,0,26464
1.0000000000000004,1,0,0,26495
1.0000000000000004,1,0,0,26464
1.0000000000000004,1,0,0,26486
1.0000000000000004,1,0,0,20707
1.0000000000000004,1,0,0,20654
1.0000000000000004,1,0,0,20681
1.0000000000000004,1,0,0,20689
1.0000000000000004,1,0,0,16874
1.0000000000000004,0,0,2,16533
1.0000000000000004,1,0,0,16912
1.0000000000000004,1,0,0,16898
1.0000000000000004,1,0,0,6758
1.0000000000000004,1,0,0,6728
1.0000000000000004,1,0,0,6766
1.0000000000000004,1,0,0,6749
1.0000000000000004,1,0,0,1252
1.0000000000000004,1,0,0,1249
1.0000000000000004,1,0,0,1241
1.0000000000000004,1,0,0,1231
0.55,0,1,1,6955
0.55,0,1,2,6929
0.55,0,1,2,7101
0.55,1,1,0,6895
0.55,0,1,1,4761
0.55,0,1,1,4782
0.55,1,1,0,4767
0.55,1,1,0,4774
0.55,1,1,0,3227
0.55,0,1,2,3214
0.55,1,1,0,3211
0.55,0,1,2,3217
0.55,0,1,1,2276
0.55,0,1,2,2282
0.55,0,1,1,2299
0.55,1,0,0,2280
