weight,won,lost,n_gold,final_cycle
0.8500000000000003,0,1,1,8893
0.8500000000000003,0,1,2,6815
0.8500000000000003,0,1,1,6819
0.8500000000000003,1,1,0,6721
0.8500000000000003,0,1,1,6846
0.8500000000000003,0,1,1,5657
0.8500000000000003,0,1,1,5669
0.8500000000000003,1,1,0,5555
0.8500000000000003,0,1,1,5646
0.8500000000000003,1,1,0,4689
0.8500000000000003,0,1,1,4713
0.8500000000000003,1,1,0,4691
0.8500000000000003,0,1,2,4736
0.8500000000000003,0,1,2,1057
0.8500000000000003,0,1,2,1072
0.8500000000000003,1,0,0,1056
0.8500000000000003,0,1,1,1064
0.9000000000000004,0,1,1,6277
0.9000000000000004,0,1,1,6300
0.9000000000000004,0,1,2,6284
0.9000000000000004,0,1,1,6440
0.9000000000000004,0,1,1,4635
0.9000000000000004,0,1,2,4644
0.9000000000000004,0,1,2,4642
0.9000000000000004,1,1,0,4649
0.9000000000000004,1,1,0,3912
0.9000000000000004,0,1,1,3901
0.9000000000000004,0,1,2,3894
0.9000000000000004,0,1,2,3901
0.9000000000000004,1,0,0,1852
0.9000000000000004,0,1,1,1898
0.9000000000000004,0,1,2,1943
0.9000000000000004,1,0,0,1849
0.9000000000000004,0,1,2,1017
0.9000000000000004,1,0,0,1015
0.9000000000000004,0,1,1,1028
0.9000000000000004,0,1,1,1016
0.9500000000000004,0,1,1,15033
0.9500000000000004,1,1,0,14827
0.9500000000000004,0,1,1,14887
0.9500000000000004,0,1,2,15270
0.9500000000000004,1,1,0,13556
0.9500000000000004,1,1,0,13648
0.9500000000000004,1,1,0,13520
0.9500000000000004,1,1,0,13527
0.9500000000000004,1,1,0,12579
0.9500000000000004,1,1,0,12456
0.9500000000000004,1,1,0,12553
0.9500000000000004,1,1,0,12445
0.9500000000000004,1,1,0,8580
0.9500000000000004,1,1,0,8582
0.9500000000000004,1,0,0,8563
0.9500000000000004,1,1,0,8577
0.9500000000000004,1,1,0,1284
0.9500000000000004,1,0,0,1279
0.9500000000000004,0,1,2,1281
0.9500000000000004,1,0,0,1282
1.0000000000000004,1,0,0,24830
1.0000000000000004,1,0,0,24873
1.0000000000000004,1,0,0,24839
1.0000000000000004,1,0,0,24836
1.0000000000000004,1,0,0,22152
1.0000000000000004,1,0,0,22133
1.0000000000000004,1,0,0,22195
1.0000000000000004,1,0,0,22169
1.0000000000000004,1,0,0,20242
1.0000000000000004,1,0,0,20231
1.0000000000000004,1,0,0,20213
1.0000000000000004,1,0,0,20229
1.0000000000000004,1,0,0,15366
1.0000000000000004,1,0,0,15343
1.0000000000000004,1,0,0,15338
1.0000000000000004,1,0,0,15349
1.0000000000000004,0,0,2,10001
1.0000000000000004,1,0,0,10130
1.0000000000000004,1,0,0,10117
1.0000000000000004,1,0,0,10143
